user_name,email,account_type,gender,password,joining_date,"(""Jaquelyn Yalçın"", ""jaquelynyaln@gmail.ca"", 'customer' , 'male', ""BXD61MPX6YY"", ""2022-10-26""),"
Jaquelyn Yalçın,jaquelynyaln@gmail.ca,'customer' ,'male',BXD61MPX6YY,10/26/2022,"(""Calvin Nguyễn"", ""calvinnguyn5943@gmail.net"", 'artist' , 'male', ""HWQ54MNM2WD"", ""2021-01-23""),"
Calvin Nguyễn,calvinnguyn5943@gmail.net,'artist' ,'male',HWQ54MNM2WD,1/23/2021,"(""Germane Arıkan"", ""germanearkan@gmail.com"", 'customer' , 'female', ""ENA82TWS6PH"", ""2021-11-20""),"
Germane Arıkan,germanearkan@gmail.com,'customer' ,'female',ENA82TWS6PH,11/20/2021,"(""Macy Nguyễn"", ""macynguyn50@gmail.couk"", 'customer' , 'male', ""TNU14WHE2RO"", ""2021-01-08""),"
Macy Nguyễn,macynguyn50@gmail.couk,'customer' ,'male',TNU14WHE2RO,1/8/2021,"(""Dominique Srivastava"", ""dominiquesrivastava9686@gmail.edu"", 'customer' , 'male', ""CLZ86HCH4HN"", ""2021-05-19""),"
Dominique Srivastava,dominiquesrivastava9686@gmail.edu,'customer' ,'male',CLZ86HCH4HN,5/19/2021,"(""Steel Abagun"", ""steelabagun8811@gmail.edu"", 'customer' , 'female', ""RRJ82NEK1XX"", ""2020-12-14""),"
Steel Abagun,steelabagun8811@gmail.edu,'customer' ,'female',RRJ82NEK1XX,12/14/2020,"(""Cailin Vega"", ""cailinvega2140@gmail.edu"", 'customer' , 'female', ""JUW23XFS1JE"", ""2021-08-18""),"
Cailin Vega,cailinvega2140@gmail.edu,'customer' ,'female',JUW23XFS1JE,8/18/2021,"(""Gwendolyn Akdağ"", ""gwendolynakda6348@gmail.com"", 'customer' , 'female', ""ZWG13UUZ9BL"", ""2021-09-26""),"
Gwendolyn Akdağ,gwendolynakda6348@gmail.com,'customer' ,'female',ZWG13UUZ9BL,9/26/2021,"(""Lareina Maria"", ""lareinamaria9743@gmail.org"", 'customer' , 'male', ""FYF45THE7UV"", ""2022-05-11""),"
Lareina Maria,lareinamaria9743@gmail.org,'customer' ,'male',FYF45THE7UV,5/11/2022,"(""Iliana Nguyễn"", ""iliananguyn@gmail.com"", 'artist' , 'female', ""HPY66NKI1FM"", ""2021-02-13""),"
Iliana Nguyễn,iliananguyn@gmail.com,'artist' ,'female',HPY66NKI1FM,2/13/2021,"(""Paloma Özen"", ""palomazen4568@gmail.com"", 'customer' , 'male', ""ZMU54ODF7KR"", ""2021-07-30""),"
Paloma Özen,palomazen4568@gmail.com,'customer' ,'male',ZMU54ODF7KR,7/30/2021,"(""Tyrone Thompson"", ""tyronethompson@gmail.couk"", 'customer' , 'female', ""TLM83SAD9KG"", ""2022-06-11""),"
Tyrone Thompson,tyronethompson@gmail.couk,'customer' ,'female',TLM83SAD9KG,6/11/2022,"(""Plato Gabriela"", ""platogabriela901@gmail.edu"", 'customer' , 'female', ""WFJ74VNY2TO"", ""2022-10-30""),"
Plato Gabriela,platogabriela901@gmail.edu,'customer' ,'female',WFJ74VNY2TO,10/30/2022,"(""Tyrone Nguyễn"", ""tyronenguyn1738@gmail.edu"", 'customer' , 'female', ""MNQ15FTC4JH"", ""2021-10-22""),"
Tyrone Nguyễn,tyronenguyn1738@gmail.edu,'customer' ,'female',MNQ15FTC4JH,10/22/2021,"(""Flynn Ayanbadejo"", ""flynnayanbadejo2515@gmail.org"", 'customer' , 'male', ""CJC59RTD4NY"", ""2021-06-04""),"
Flynn Ayanbadejo,flynnayanbadejo2515@gmail.org,'customer' ,'male',CJC59RTD4NY,6/4/2021,"(""Leah Hoắc"", ""leahhoc3533@gmail.couk"", 'customer' , 'male', ""XOW42XMB2EF"", ""2022-04-07""),"
Leah Hoắc,leahhoc3533@gmail.couk,'customer' ,'male',XOW42XMB2EF,4/7/2022,"(""Uriah Anderson"", ""uriahanderson@gmail.edu"", 'artist' , 'female', ""CDG13TXT2JB"", ""2021-03-17""),"
Uriah Anderson,uriahanderson@gmail.edu,'artist' ,'female',CDG13TXT2JB,3/17/2021,"(""Hammett Gutierrez"", ""hammettgutierrez@gmail.edu"", 'customer' , 'female', ""JTF57RWO8FX"", ""2021-10-02""),"
Hammett Gutierrez,hammettgutierrez@gmail.edu,'customer' ,'female',JTF57RWO8FX,10/2/2021,"(""Colt Nguyễn"", ""coltnguyn@gmail.net"", 'customer' , 'female', ""MGG41NQG3DI"", ""2022-06-29""),"
Colt Nguyễn,coltnguyn@gmail.net,'customer' ,'female',MGG41NQG3DI,6/29/2022,"(""Lyle Adekugbe"", ""lyleadekugbe803@gmail.ca"", 'artist' , 'male', ""LNX62KJO3WG"", ""2021-10-17""),"
Lyle Adekugbe,lyleadekugbe803@gmail.ca,'artist' ,'male',LNX62KJO3WG,10/17/2021,"(""Illana Lee"", ""illanalee7916@gmail.couk"", 'artist' , 'male', ""TCO91BDL5WG"", ""2022-12-01""),"
Illana Lee,illanalee7916@gmail.couk,'artist' ,'male',TCO91BDL5WG,12/1/2022,"(""Edward Uğurlu"", ""edwarduurlu@gmail.edu"", 'artist' , 'female', ""NOB55IJQ8LU"", ""2021-01-31""),"
Edward Uğurlu,edwarduurlu@gmail.edu,'artist' ,'female',NOB55IJQ8LU,1/31/2021,"(""Caesar Akça"", ""caesaraka@gmail.org"", 'artist' , 'male', ""TTU36ZHW6PI"", ""2021-05-31""),"
