user_name,email,account_type,gender,bio,password,joining_date,postal_code,
Connor Foster,diam.vel.arcu@protonmail.com,'artist','male',in sodales elit erat,dictum,12/7/2021,OZ32 8JD,"(""Connor Foster"",'[data-TbaBtB1lt ""diam.vel.arcu@protonmail.com"", 'artist', 'male', ""in sodales elit erat"", ""dictum"", ""2021-12-07""),"
Adrienne Cervantes,lacinia.vitae.sodales@protonmail.ca,'artist','male',"lorem, eget",tellus,2/11/2021,42047,"(""Adrienne Cervantes"", ""lacinia.vitae.sodales@protonmail.ca"", 'artist', 'male', ""lorem, eget"", ""tellus"", ""2021-02-11""),"
Larissa Sexton,nascetur.ridiculus.mus@google.net,'customer','female',dolor.,"id,",10/31/2021,7233,"(""Larissa Sexton"", ""nascetur.ridiculus.mus@google.net"", 'customer', 'female', ""dolor."", ""id,"", ""2021-10-31""),"
Keefe Solomon,metus.vitae@aol.com,'customer','female',ornare tortor,porta,12/7/2021,5880,"(""Keefe Solomon"", ""metus.vitae@aol.com"", 'customer', 'female', ""ornare tortor"", ""porta"", ""2021-12-07""),"
Jana Mcleod,lobortis@aol.ca,'artist','male',imperdiet ullamcorper. Duis at,"consequat,",5/15/2021,5502 TP,"(""Jana Mcleod"", ""lobortis@aol.ca"", 'artist', 'male', ""imperdiet ullamcorper. Duis at"", ""consequat,"", ""2021-05-15""),"
Kim Hunter,iaculis.aliquet@aol.net,'artist','male',"nec,",risus,9/4/2021,286647,"(""Kim Hunter"", ""iaculis.aliquet@aol.net"", 'artist', 'male', ""nec,"", ""risus"", ""2021-09-04""),"
Molly Melton,faucibus.ut@protonmail.ca,'customer','female',ut erat.,per,7/25/2022,40217,"(""Molly Melton"", ""faucibus.ut@protonmail.ca"", 'customer', 'female', ""ut erat."", ""per"", ""2022-07-25""),"
Jonas Blair,lacinia.at@icloud.net,'customer','female',"dictum placerat, augue. Sed",est,9/6/2022,T7N 7Y8,"(""Jonas Blair"", ""lacinia.at@icloud.net"", 'customer', 'female', ""dictum placerat, augue. Sed"", ""est"", ""2022-09-06""),"
Regina Byrd,malesuada.augue@protonmail.com,'artist','male',"Duis mi enim, condimentum eget,",ante,9/11/2021,574253,"(""Regina Byrd"", ""malesuada.augue@protonmail.com"", 'artist', 'male', ""Duis mi enim, condimentum eget,"", ""ante"", ""2021-09-11""),"
Ryder Terrell,fringilla@yahoo.couk,'artist','male',Nam interdum enim non,felis.,11/16/2022,2771,"(""Ryder Terrell"", ""fringilla@yahoo.couk"", 'artist', 'male', ""Nam interdum enim non"", ""felis."", ""2022-11-16""),"
Madison Craft,non@yahoo.net,'customer','female',Donec porttitor tellus,vitae,6/30/2021,1621-3324,"(""Madison Craft"", ""non@yahoo.net"", 'customer', 'female', ""Donec porttitor tellus"", ""vitae"", ""2021-06-30""),"
Freya Ward,auctor.mauris.vel@google.net,'customer','female',"tempor, est ac",facilisis,9/23/2022,32052-45120,"(""Freya Ward"", ""auctor.mauris.vel@google.net"", 'customer', 'female', ""tempor, est ac"", ""facilisis"", ""2022-09-23""),"
Maggy Barr,vel.mauris@yahoo.org,'artist','male',et libero. Proin mi. Aliquam,Praesent,1/31/2022,99521,"(""Maggy Barr"", ""vel.mauris@yahoo.org"", 'artist', 'male', ""et libero. Proin mi. Aliquam"", ""Praesent"", ""2022-01-31""),"
Blake Weiss,integer.vitae@aol.org,'artist','male',"elit. Aliquam auctor, velit",lorem,3/31/2022,35538,"(""Blake Weiss"", ""integer.vitae@aol.org"", 'artist', 'male', ""elit. Aliquam auctor, velit"", ""lorem"", ""2022-03-31""),"
Dai Hale,sagittis@hotmail.edu,'customer','female',Donec egestas. Aliquam nec,Proin,3/14/2022,88887,"(""Dai Hale"", ""sagittis@hotmail.edu"", 'customer', 'female', ""Donec egestas. Aliquam nec"", ""Proin"", ""2022-03-14""),"
Oscar Keith,diam.proin@icloud.net,'customer','female',Nunc commodo auctor,cursus,3/1/2021,3255,"(""Oscar Keith"", ""diam.proin@icloud.net"", 'customer', 'female', ""Nunc commodo auctor"", ""cursus"", ""2021-03-01""),"
Elmo Dunlap,nunc@protonmail.edu,'artist','male',mollis lectus pede,sed,2/19/2021,855371,"(""Elmo Dunlap"", ""nunc@protonmail.edu"", 'artist', 'male', ""mollis lectus pede"", ""sed"", ""2021-02-19""),"
Steel Blake,tellus@aol.com,'artist','male',Quisque varius. Nam,a,6/23/2021,34628-14174,"(""Steel Blake"", ""tellus@aol.com"", 'artist', 'male', ""Quisque varius. Nam"", ""a"", ""2021-06-23""),"
Cullen Bernard,lacinia@protonmail.net,'customer','female',"sit amet, consectetuer adipiscing","aliquam,",7/17/2021,A7N 4Z0,"(""Cullen Bernard"", ""lacinia@protonmail.net"", 'customer', 'female', ""sit amet, consectetuer adipiscing"", ""aliquam,"", ""2021-07-17""),"
Tad Hart,nibh.lacinia@outlook.com,'customer','female',"ornare, facilisis eget, ipsum. Donec",posuere,6/16/2021,879613,"(""Tad Hart"", ""nibh.lacinia@outlook.com"", 'customer', 'female', ""ornare, facilisis eget, ipsum. Donec"", ""posuere"", ""2021-06-16""),"
Nichole O'brien,nibh.sit@outlook.edu,'artist','male',eleifend,Aliquam,4/11/2022,7267 TM,"(""Nichole O'brien"", ""nibh.sit@outlook.edu"", 'artist', 'male', ""eleifend"", ""Aliquam"", ""2022-04-11""),"
Nayda Acevedo,odio.nam.interdum@icloud.edu,'artist','male',"nunc est, mollis",posuere,3/15/2021,66749,"(""Nayda Acevedo"", ""odio.nam.interdum@icloud.edu"", 'artist', 'male', ""nunc est, mollis"", ""posuere"", ""2021-03-15""),"
Tana Mathis,iaculis@google.com,'customer','female',fringilla est. Mauris eu,Etiam,12/26/2022,1443,"(""Tana Mathis"", ""iaculis@google.com"", 'customer', 'female', ""fringilla est. Mauris eu"", ""Etiam"", ""2022-12-26""),"
Hayfa Mcmahon,vel.faucibus.id@google.couk,'customer','female',"a, malesuada id, erat.",Morbi,12/24/2020,8896,"(""Hayfa Mcmahon"", ""vel.faucibus.id@google.couk"", 'customer', 'female', ""a, malesuada id, erat."", ""Morbi"", ""2020-12-24""),"
Yvette Mcgowan,lacus.cras@icloud.edu,'artist','male',mi fringilla mi,eu,7/7/2022,286565,"(""Yvette Mcgowan"", ""lacus.cras@icloud.edu"", 'artist', 'male', ""mi fringilla mi"", ""eu"", ""2022-07-07""),"
Channing Stafford,ligula.aenean.gravida@google.edu,'artist','male',vel est,semper.,2/10/2022,16445,"(""Channing Stafford"", ""ligula.aenean.gravida@google.edu"", 'artist', 'male', ""vel est"", ""semper."", ""2022-02-10""),"
Brynn Delacruz,aenean.gravida@yahoo.couk,'customer','female',"cursus luctus, ipsum",lobortis,8/3/2021,8764 CD,"(""Brynn Delacruz"", ""aenean.gravida@yahoo.couk"", 'customer', 'female', ""cursus luctus, ipsum"", ""lobortis"", ""2021-08-03""),"
Hasad Powell,ante.dictum@google.com,'customer','female',"iaculis, lacus pede sagittis",Aenean,7/23/2022,3147-5721,"(""Hasad Powell"", ""ante.dictum@google.com"", 'customer', 'female', ""iaculis, lacus pede sagittis"", ""Aenean"", ""2022-07-23""),"
Violet Franco,molestie.arcu@outlook.edu,'artist','male',"id sapien. Cras dolor dolor,","eleifend,",1/22/2022,6560,"(""Violet Franco"", ""molestie.arcu@outlook.edu"", 'artist', 'male', ""id sapien. Cras dolor dolor,"", ""eleifend,"", ""2022-01-22""),"
Raven Dominguez,nibh.quisque.nonummy@yahoo.com,'artist','male',arcu ac orci.,Nunc,10/8/2022,26879,"(""Raven Dominguez"", ""nibh.quisque.nonummy@yahoo.com"", 'artist', 'male', ""arcu ac orci."", ""Nunc"", ""2022-10-08""),"
Jordan Cortez,dolor.egestas@icloud.ca,'customer','female',venenatis lacus. Etiam,gravida,7/26/2022,461435,"(""Jordan Cortez"", ""dolor.egestas@icloud.ca"", 'customer', 'female', ""venenatis lacus. Etiam"", ""gravida"", ""2022-07-26""),"
Edward Malone,risus@outlook.com,'customer','female',Morbi metus.,nunc,3/5/2021,21414,"(""Edward Malone"", ""risus@outlook.com"", 'customer', 'female', ""Morbi metus."", ""nunc"", ""2021-03-05""),"
